"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"18079",0,1,1,19,1,"Very Well","1 or more years of college credit, no degree","No","Yes","Yes"
"18080",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"18081",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"18082",0,0,0,6,4,"Not at all","Grade 3","No","No","No"
"18083",0,0,1,3,1,"Very Well","Kindergarten","No","No","Yes"
"18084",0,0,0,13,3,"Not Well","Grade 10","No","No","No"
"18085",0,0,0,19,1,"Very Well","1 or more years of college credit, no degree","No","No","No"
"18086",0,0,0,22,1,"Very Well","Master's degree","No","No","No"
"18087",1,1,1,16,1,"Very Well","Regular high school diploma","Yes","Yes","Yes"
"18088",0,0,0,22,1,"Very Well","Master's degree","No","No","No"
"18089",1,1,1,10,2,"Well","Grade 7","Yes","Yes","Yes"
"18090",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"18091",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"18092",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18093",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"18094",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18095",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"18096",0,0,1,1,1,"Very Well","No Schooling Completed","No","No","Yes"
"18097",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"18098",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"18099",0,1,1,24,1,"Very Well","Doctorate degree","No","Yes","Yes"
"18100",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"18101",0,0,0,1,2,"Well","No Schooling Completed","No","No","No"
"18102",0,0,1,11,1,"Very Well","Grade 8","No","No","Yes"
"18103",1,0,1,13,2,"Well","Grade 10","Yes","No","Yes"
"18104",0,0,0,13,3,"Not Well","Grade 10","No","No","No"
"18105",0,0,1,14,3,"Not Well","Grade 11","No","No","Yes"
"18106",0,0,1,4,3,"Not Well","Grade 1","No","No","Yes"
"18107",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"18108",0,0,1,18,3,"Not Well","Some college, but less than 1 year","No","No","Yes"
"18109",0,0,1,16,3,"Not Well","Regular high school diploma","No","No","Yes"
"18110",0,0,1,3,1,"Very Well","Kindergarten","No","No","Yes"
"18111",1,0,1,24,2,"Well","Doctorate degree","Yes","No","Yes"
"18112",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"18113",1,1,1,16,1,"Very Well","Regular high school diploma","Yes","Yes","Yes"
"18114",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18115",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18116",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18117",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18118",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"18119",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18120",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"18121",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"18122",0,0,1,14,2,"Well","Grade 11","No","No","Yes"
"18123",1,0,1,16,3,"Not Well","Regular high school diploma","Yes","No","Yes"
"18124",0,0,0,12,4,"Not at all","Grade 9","No","No","No"
"18125",1,0,1,15,1,"Very Well","12th Grade - no diploma","Yes","No","Yes"
"18126",0,0,1,6,4,"Not at all","Grade 3","No","No","Yes"
"18127",0,0,1,18,1,"Very Well","Some college, but less than 1 year","No","No","Yes"
"18128",0,0,1,19,1,"Very Well","1 or more years of college credit, no degree","No","No","Yes"
"18129",0,0,1,18,2,"Well","Some college, but less than 1 year","No","No","Yes"
"18130",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"18131",0,0,1,13,1,"Very Well","Grade 10","No","No","Yes"
"18132",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18133",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18134",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18135",0,0,1,22,2,"Well","Master's degree","No","No","Yes"
"18136",0,0,1,21,3,"Not Well","Bachelor's degree","No","No","Yes"
"18137",0,0,1,13,1,"Very Well","Grade 10","No","No","Yes"
"18138",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18139",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"18140",0,1,1,22,2,"Well","Master's degree","No","Yes","Yes"
"18141",0,1,1,21,3,"Not Well","Bachelor's degree","No","Yes","Yes"
"18142",1,0,1,15,2,"Well","12th Grade - no diploma","Yes","No","Yes"
"18143",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18144",1,0,1,11,1,"Very Well","Grade 8","Yes","No","Yes"
"18145",0,0,1,10,3,"Not Well","Grade 7","No","No","Yes"
"18146",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
